Dealer Name	Location	Phone	Website Address																						
Newtown Autos Ltd	Birmingham	(07441) 936683																							
Car Sale House	Birmingham	(07822) 001324	https://www.carsalehouse.co.uk/																						
A1 MOTOR GRAND LTD	Birmingham	(07441) 900313	https://www.a1mg.co.uk/																						
JMC Sutton	Sutton Coldfield	(07441) 911302	http://www.jmcsutton.com/																						
Midlands Motors	Birmingham	(0121) 721 8381	http://www.midlandsmotorsltd.co.uk/																						
Fame Cars Ltd	Birmingham	(07360) 540263	http://www.famecarsltd.co.uk/																						
Spring Motors Ltd	Birmingham	(07537) 165047																							
WMG Trade Centre	Birmingham	(0121) 659 1969	https://www.wmgtradecentre.co.uk/																						
MI Motor Company	Birmingham	(07822) 001235																							
Johnsons Volkswagen Birmingham	Birmingham	(0121) 659 7667	http://www.johnsonscars.co.uk/volkswagen/used-cars/?ito=LBC200602/?utm_source=11&utm_medium=3&utm_campaign=CM001572-1																						
A TO Z MOTORS SPECIALIST LTD	Birmingham	(07379) 799425	https://www.atozmotors.uk/																						
CANAL SIDE MOTORS UK LTD	Birmingham	(07418) 690402	http://www.canalsidemotorsukltd.co.uk/																						
A C DEALER LTD	Birmingham	(0121) 659 1037	https://alltoncars.co.uk/																						
DC Car Sales	Birmingham	(07537) 145565																							
Exclusive Cars (GB) Limited	Birmingham	(0121) 659 7991	https://www.exclusivecarsgb.co.uk/																						
Autoemocion	Birmingham	(07537) 165197	http://www.autoemocion.co.uk/																						
Mid Car Trade Centre	Birmingham	(07897) 073455	https://midtradecentre.co.uk/																						
USED CARS SUPERMARKET LTD	Birmingham	(07537) 125451	http://usedcarssupermarketltd.co.uk/																						
Top Car Sales	Birmingham	(07441) 900403																							
SK Motor Trade Ltd	Birmingham	(0121) 721 0110	http://www.skmotortrade.co.uk/																						
Distinto Cars & Classics	Birmingham	(0121) 659 8536																							
Apex Motors	Birmingham	(0121) 659 1633	http://apexmotorsbham.co.uk/																						
LAA Storage Ltd	Birmingham	(07426) 049751																							
